LAMMPS data file for Nanoparticles
4096 atoms
2 atom types
-73.2232986291 73.2232986291 xlo xhi
-73.2232986291 73.2232986291 ylo yhi
-0.5 0.5 zlo zhi

Atoms

1 1 1 -73.2233 -73.2233 0 0 0 0
2 1 2 -72.6253 -72.4218 0 0 0 0
3 1 2 72.6253 72.4218 0 -1 -1 0
4 2 1 -68.6468 -73.2233 0 0 0 0
5 2 2 -69.1269 72.3461 0 0 -1 0
6 2 2 -67.7696 72.7432 0 0 -1 0
7 2 2 -68.1668 -72.3461 0 0 0 0
8 2 2 -69.5241 -72.7432 0 0 0 0
9 3 1 -64.0704 -73.2233 0 0 0 0
10 3 2 -64.5897 -72.3687 0 0 0 0
11 3 2 -64.925 72.704 0 0 -1 0
12 3 2 -63.5511 72.3687 0 0 -1 0
13 3 2 -63.2158 -72.704 0 0 0 0
14 4 1 -59.4939 -73.2233 0 0 0 0
15 4 2 -58.7564 -72.548 0 0 0 0
16 4 2 -60.2314 72.548 0 0 -1 0
17 5 1 -54.9175 -73.2233 0 0 0 0
18 5 2 -55.9051 -73.0666 0 0 0 0
19 5 2 -55.0742 72.2357 0 0 -1 0
20 5 2 -53.9298 73.0666 0 0 -1 0
21 5 2 -54.7607 -72.2357 0 0 0 0
22 6 1 -50.341 -73.2233 0 0 0 0
23 6 2 -51.2314 -72.7682 0 0 0 0
24 6 2 -50.7961 72.3329 0 0 -1 0
25 6 2 -49.4506 72.7682 0 0 -1 0
26 6 2 -49.8859 -72.3329 0 0 0 0
27 7 1 -45.7646 -73.2233 0 0 0 0
28 7 2 -46.727 -72.9517 0 0 0 0
29 7 2 -44.8021 72.9517 0 0 -1 0
30 8 1 -41.1881 -73.2233 0 0 0 0
31 8 2 -41.7637 -72.4056 0 0 0 0
32 8 2 -40.6125 72.4056 0 0 -1 0
33 9 1 -36.6116 -73.2233 0 0 0 0
34 9 2 -36.8646 -72.2558 0 0 0 0
35 9 2 -36.3587 72.2558 0 0 -1 0
36 10 1 -32.0352 -73.2233 0 0 0 0
37 10 2 -31.5959 72.3249 0 0 -1 0
38 10 2 -32.4744 -72.3249 0 0 0 0
39 11 1 -27.4587 -73.2233 0 0 0 0
40 11 2 -28.3058 -72.6917 0 0 0 0
41 11 2 -27.9903 72.3763 0 0 -1 0
42 11 2 -26.6117 72.6917 0 0 -1 0
43 11 2 -26.9272 -72.3763 0 0 0 0
44 12 1 -22.8823 -73.2233 0 0 0 0
45 12 2 -23.4932 -72.4316 0 0 0 0
46 12 2 -22.2714 72.4316 0 0 -1 0
47 13 1 -18.3058 -73.2233 0 0 0 0
48 13 2 -19.0706 -72.579 0 0 0 0
49 13 2 -17.5411 72.579 0 0 -1 0
50 14 1 -13.7294 -73.2233 0 0 0 0
51 14 2 -12.8049 -72.842 0 0 0 0
52 14 2 -14.6538 72.842 0 0 -1 0
53 15 1 -9.15291 -73.2233 0 0 0 0
54 15 2 -8.15292 -73.2205 0 0 0 0
55 15 2 -9.15572 -72.2233 0 0 0 0
56 15 2 -10.1529 73.2205 0 0 -1 0
57 15 2 -9.15011 72.2233 0 0 -1 0
58 16 1 -4.57646 -73.2233 0 0 0 0
59 16 2 -3.67324 -72.7941 0 0 0 0
60 16 2 -5.00564 -72.3201 0 0 0 0
61 16 2 -5.47967 72.7941 0 0 -1 0
62 16 2 -4.14727 72.3201 0 0 -1 0
63 17 1 0 -73.2233 0 0 0 0
64 17 2 -0.584954 72.4122 0 0 -1 0
65 17 2 0.811067 72.6383 0 0 -1 0
66 17 2 0.584954 -72.4122 0 0 0 0
67 17 2 -0.811067 -72.6383 0 0 0 0
68 18 1 4.57646 -73.2233 0 0 0 0
69 18 2 5.01051 -72.3224 0 0 0 0
70 18 2 4.1424 72.3224 0 0 -1 0
71 19 1 9.15291 -73.2233 0 0 0 0
72 19 2 8.60583 -72.3862 0 0 0 0
73 19 2 8.31583 72.6762 0 0 -1 0
74 19 2 9.69999 72.3862 0 0 -1 0
75 19 2 9.98999 -72.6762 0 0 0 0
76 20 1 13.7294 -73.2233 0 0 0 0
77 20 2 14.5055 72.5927 0 0 -1 0
78 20 2 14.36 -72.4472 0 0 0 0
79 20 2 12.9533 -72.5927 0 0 0 0
80 20 2 13.0988 72.4472 0 0 -1 0
81 21 1 18.3058 -73.2233 0 0 0 0
82 21 2 19.212 -72.8003 0 0 0 0
83 21 2 17.3997 72.8003 0 0 -1 0
84 22 1 22.8823 -73.2233 0 0 0 0
85 22 2 22.2513 72.4475 0 0 -1 0
86 22 2 23.6581 72.5923 0 0 -1 0
87 22 2 23.5133 -72.4475 0 0 0 0
88 22 2 22.1065 -72.5923 0 0 0 0
89 23 1 27.4587 -73.2233 0 0 0 0
90 23 2 26.7246 -72.5443 0 0 0 0
91 23 2 26.7797 72.4892 0 0 -1 0
92 23 2 28.1928 72.5443 0 0 -1 0
93 23 2 28.1378 -72.4892 0 0 0 0
94 24 1 32.0352 -73.2233 0 0 0 0
95 24 2 31.0904 -72.8957 0 0 0 0
96 24 2 31.7076 72.2785 0 0 -1 0
97 24 2 32.98 72.8957 0 0 -1 0
98 24 2 32.3628 -72.2785 0 0 0 0
99 25 1 36.6116 -73.2233 0 0 0 0
100 25 2 35.6286 73.0401 0 0 -1 0
101 25 2 36.7948 72.2402 0 0 -1 0
102 25 2 37.5947 -73.0401 0 0 0 0
103 25 2 36.4285 -72.2402 0 0 0 0
104 26 1 41.1881 -73.2233 0 0 0 0
105 26 2 40.4966 72.501 0 0 -1 0
106 26 2 41.9104 72.5317 0 0 -1 0
